rank,title,studio,gross,year
122,Harry Potter and the Prisoner of Azkaban,WB,249759843.0,2004
123,Moana,BV,248757044.0,2016
124,Raiders of the Lost Ark,Par.,248159971.0,1981
125,Toy Story 2,BV,245852179.0,1999
126,Transformers: Age of Extinction,Par.,245439076.0,2014
127,Cars,BV,244082982.0,2006
128,Bruce Almighty,Uni.,242829261.0,2003
129,Ghostbusters,Col.,242212467.0,1984
130,Twister,WB,241721524.0,1996
131,My Big Fat Greek Wedding,IFC,241438208.0,2002
132,Maleficent,BV,241410378.0,2014
133,Pirates of the Caribbean: On Stranger Tides,BV,241071802.0,2011
134,Shrek Forever After,P/DW,238736787.0,2010
135,Fast & Furious 6,Uni.,238679850.0,2013
136,Brave,BV,237283207.0,2012
137,Oz The Great and Powerful,BV,234911825.0,2013
138,Beverly Hills Cop,Par.,234760478.0,1984
139,X-Men: The Last Stand,Fox,234362462.0,2006
140,War of the Worlds,Par.,234280354.0,2005
141,Fantastic Beasts and Where To Find Them,WB,234037575.0,2016
142,X-Men: Days of Future Past,Fox,233921534.0,2014
143,Cast Away,Fox,233632142.0,2000
144,The Exorcist,WB,232906145.0,1973
145,Doctor Strange,BV,232641920.0,2016
146,The Lost World: Jurassic Park,Uni.,229086679.0,1997
147,Justice League,WB,229024295.0,2017
148,Star Trek Into Darkness,Par.,228778661.0,2013
149,The Martian,Fox,228433663.0,2015
150,Signs,BV,227966634.0,2002
151,Hancock,Sony,227946274.0,2008
152,The Bourne Ultimatum,Uni.,227471070.0,2007
153,Logan (2017),Fox,226277068.0,2017
154,Rush Hour 2,NL,226164286.0,2001
155,The Fate of the Furious,Uni.,226008385.0,2017
156,WALL-E,BV,223808164.0,2008
157,Big Hero 6,BV,222527828.0,2014
158,Mission: Impossible - Fallout,Par.,220159104.0,2018
159,National Treasure: Book of Secrets,BV,219964115.0,2007
160,Alvin and the Chipmunks: The Squeakquel,Fox,219614612.0,2009
161,Mrs. Doubtfire,Fox,219195243.0,1993
162,Beauty and the Beast,BV,218967620.0,1991
163,Ted,Uni.,218815487.0,2012
164,King Kong,Uni.,218080025.0,2005
165,Ghost,Par.,217631306.0,1990
166,How to Train Your Dragon,P/DW,217581231.0,2010
167,The Da Vinci Code,Sony,217536138.0,2006
168,Aladdin,BV,217350219.0,1992
169,Alvin and the Chipmunks,Fox,217326974.0,2007
170,Ant-Man and the Wasp,BV,216648740.0,2018
171,Saving Private Ryan,DW,216540909.0,1998
172,Bohemian Rhapsody,Fox,216428042.0,2018
173,Madagascar 3: Europe's Most Wanted,P/DW,216391482.0,2012
174,Kung Fu Panda,P/DW,215434591.0,2008
175,Mission: Impossible II,Par.,215409889.0,2000
176,A Star is Born (2018),WB,215288866.0,2018
177,X2: X-Men United,Fox,214949694.0,2003
178,Dr. Seuss' The Lorax,Uni.,214030500.0,2012
179,Solo: A Star Wars Story,BV,213767512.0,2018
180,Venom (2018),Sony,213515506.0,2018
181,Austin Powers in Goldmember,NL,213307889.0,2002
182,300,WB,210614939.0,2007
183,Back to the Future,Uni.,210609762.0,1985
184,Fast Five,Uni.,209837675.0,2011
185,Coco,BV,209726015.0,2017
186,Mission: Impossible - Ghost Protocol,Par.,209397903.0,2011
187,Wedding Crashers,NL,209255921.0,2005
188,Sherlock Holmes,WB,209028679.0,2009
189,Dawn of the Planet of the Apes,Fox,208545589.0,2014
190,Batman Begins,WB,206852432.0,2005
191,Charlie and the Chocolate Factory,WB,206459076.0,2005
192,Ratatouille,BV,206445654.0,2007
193,Thor: The Dark World,BV,206362140.0,2013
194,Austin Powers: The Spy Who Shagged Me,NL,206040086.0,1999
195,Terminator 2: Judgment Day,TriS,205881154.0,1991
196,The Amazing Spider-Man 2,Sony,202853933.0,2014
197,World War Z,Par.,202359711.0,2013
198,The Mummy Returns,Uni.,202019785.0,2001
199,Armageddon,BV,201578182.0,1998
200,Cinderella (2015),BV,201151353.0,2015
201,Ralph Breaks the Internet,BV,201091711.0,2018
202,Gone with the Wind,MGM,200852579.0,1939
203,Tangled,BV,200821936.0,2010
204,Godzilla (2014),WB,200676069.0,2014
205,Superman Returns,WB,200081192.0,2006
206,Spectre,Sony,200074609.0,2015
207,Pearl Harbor,BV,198542554.0,2001
208,Monsters Vs. Aliens,P/DW,198351526.0,2009
209,Happy Feet,WB,198000317.0,2006
210,Indiana Jones and the Last Crusade,Par.,197171806.0,1989
211,Ice Age: Dawn of the Dinosaurs,Fox,196573705.0,2009
212,Ice Age: The Meltdown,Fox,195330621.0,2006
213,Mission: Impossible - Rogue Nation,Par.,195042377.0,2015
214,Madagascar,DW,193595521.0,2005
215,Twilight,Sum.,192769854.0,2008
216,Toy Story,BV,191796233.0,1995
217,22 Jump Street,Sony,191719337.0,2014
218,Cars 2,BV,191452396.0,2011
219,Teenage Mutant Ninja Turtles (2014),Par.,191204754.0,2014
220,Men in Black II,Sony,190418803.0,2002
221,Spider-Man: Into The Spider-Verse,Sony,190241310.0,2018
222,Grease,Par.,189969103.0,1978
223,Dunkirk,WB,189740665.0,2017
224,Wreck-It Ralph,BV,189422889.0,2012
225,A Quiet Place,Par.,188024361.0,2018
226,Interstellar,Par.,188020017.0,2014
227,Gladiator,DW,187705427.0,2000
228,The Polar Express,WB,187224490.0,2004
229,The Croods,Fox,187168425.0,2013
230,Sherlock Holmes: A Game of Shadows,WB,186848418.0,2011
231,The Day After Tomorrow,Fox,186740799.0,2004
232,Mr. & Mrs. Smith,Fox,186336279.0,2005
