rank,title,studio,gross,year
4425,The Gift,ParC,12008642.0,2000
4426,Big Night,Gold.,12008376.0,1996
4427,Blow Out,Film,12000000.0,1981
4428,Comin' at Ya!,Film,12000000.0,1981
4429,The Sword in the Stone (Re-issue),BV,12000000.0,1983
4430,The King and I (1999),WB,11993021.0,1999
4431,Zoom,SonR,11989328.0,2006
4432,Phantasm,AVCO,11988469.0,1979
4433,Upgrade,BH Tilt,11977130.0,2018
4434,End of the Spear,RM,11967000.0,2006
4435,Sorority Row,Sum.,11965282.0,2009
4436,"Roman J. Israel, Esq.",Sony,11962778.0,2017
4437,Brighton Beach Memoirs,Uni.,11957943.0,1986
4438,Firewalker,Can.,11949484.0,1986
4439,Deathstalker,NW,11919250.0,1983
4440,The Thirteenth Floor,Sony,11916661.0,1999
4441,The Darjeeling Limited,FoxS,11902715.0,2007
4442,Making Love,Fox,11897978.0,1982
4443,Sydney White,Uni.,11892415.0,2007
4444,Glee The 3D Concert Movie,Fox,11862398.0,2011
4445,Padmaavat,VPD,11846060.0,2018
4446,Sliding Doors,Mira.,11841544.0,1998
4447,Tales from the Hood,Sav.,11837928.0,1995
4448,Alaska,Sony,11829959.0,1996
4449,The Cookout,Lions,11814019.0,2004
4450,Back Roads,WB,11809387.0,1981
4451,Bloodsport,Can.,11806119.0,1988
4452,Meet Dave,Fox,11803254.0,2008
4453,3 Ninjas Kick Back,TriS,11798854.0,1994
4454,Zelig,WB,11798616.0,1983
4455,Caddyshack II,WB,11798302.0,1988
4456,The Lords of Discipline,Par.,11787127.0,1983
4457,Strictly Ballroom,Mira.,11738022.0,1993
4458,Dave Chappelle's Block Party,Rog.,11718595.0,2006
4459,Knockaround Guys,NL,11715637.0,2002
4460,Used Cars,Col.,11715321.0,1980
4461,Up the Creek,Orion,11708269.0,1984
4462,Winged Migration,SPC,11689053.0,2003
4463,Fifty Shades of Black,ORF,11686940.0,2016
4464,The Adventures of Elmo in Grouchland,Sony,11683047.0,1999
4465,Gone,LG/S,11682205.0,2012
4466,Girl with a Pearl Earring,Lions,11670971.0,2003
4467,Surviving Christmas,DW,11663156.0,2004
4468,Rock-A-Doodle,Gold.,11657385.0,1992
4469,Far From Home: The Adventures of Yellow Dog,Fox,11642946.0,1995
4470,Halloween 5,Gal.,11642254.0,1989
4471,The Muse,USA,11614954.0,1999
4472,The Last Kiss (2006),P/DW,11614790.0,2006
4473,The Promise,Uni.,11606005.0,1979
4474,Gross Anatomy,BV,11604598.0,1989
4475,Lifeforce,TriS,11603545.0,1985
4476,So I Married an Axe Murderer,TriS,11585483.0,1993
4477,Graveyard Shift,Par.,11582891.0,1990
4478,Wing Commander,Fox,11578059.0,1999
4479,Get Over It,Mira.,11576464.0,2001
4480,Henry & June,Uni.,11567449.0,1990
4481,Police Academy 6: City Under Siege,WB,11567217.0,1989
4482,The Other Side of the Mountain Part II,Uni.,11565678.0,1978
4483,The Legend of Drunken Master,Mira.,11555430.0,2000
4484,Pump Up the Volume,NL,11541758.0,1990
4485,Boys Don't Cry,FoxS,11540607.0,1999
4486,Turbulence,MGM,11538235.0,1997
4487,The Conspirator,RAtt.,11538204.0,2011
4488,The Longshots,MGM/W,11537046.0,2008
4489,Young Einstein,WB,11536599.0,1989
4490,Super Size Me,IDP,11536423.0,2004
4491,Fair Game (1995),WB,11534477.0,1995
4492,Just One of the Guys,Col.,11528900.0,1985
4493,No Manches Frida,PNT,11528613.0,2016
4494,Mulholland Falls,MGM,11526099.0,1996
4495,Shattered,MGM,11511031.0,1991
4496,Army of Darkness,Uni.,11502976.0,1993
4497,The Words,CBS,11494838.0,2012
4498,Thief,MGM,11492915.0,1981
4499,The River,Uni.,11489982.0,1984
4500,Das Boot,Col.,11487676.0,1982
4501,The Beautician and the Beast,Par.,11486880.0,1997
4502,Something New,Focus,11468568.0,2006
4503,Material Girls,MGM,11449638.0,2006
4504,Moon Over Parador,Uni.,11444204.0,1988
4505,The Ref,BV,11439193.0,1994
4506,Double Team,Sony,11438337.0,1997
4507,The Shipping News,Mira.,11434216.0,2001
4508,The Powerpuff Girls Movie,WB,11412414.0,2002
4509,Cops and Robbersons,TriS,11391093.0,1994
4510,Jennifer 8,Par.,11390479.0,1992
4511,After (2019),Aviron,11380739.0,2019
4512,The Seduction,Emb,11378339.0,1982
4513,Thumbelina,WB,11373501.0,1994
4514,Unforgettable (2017),WB,11368012.0,2017
4515,The Legacy,Uni.,11364985.0,1979
4516,Opportunity Knocks,Uni.,11359129.0,1990
4517,Balto,Uni.,11348324.0,1995
4518,Career Opportunities,Uni.,11336986.0,1991
4519,Manhattan Murder Mystery,TriS,11330911.0,1993
4520,Out of the Furnace,Rela.,11330849.0,2013
4521,Antitrust,MGM,11328094.0,2001
4522,Extreme Prejudice,TriS,11307844.0,1987
4523,Casanova,BV,11304403.0,2005
4524,Tank,Uni.,11302884.0,1984
4525,Ready to Wear,Mira.,11300653.0,1994
4526,Who's the Man?,NL,11299730.0,1993
4527,The Lives of Others,SPC,11286112.0,2007
4528,The Old Man & the Gun,FoxS,11277120.0,2018
4529,One Good Cop,BV,11276846.0,1991
4530,Lords of Dogtown,Sony,11273517.0,2005
4531,Chill Factor,WB,11263966.0,1999
4532,Brotherhood of the Wolf,Uni.,11260096.0,2002
4533,Cyberworld 3-D (IMAX),Imax,11253900.0,2000
4534,Island of Lemurs: Madagascar (IMAX),WB,11252834.0,2014
4535,Bobby,MGM/W,11242801.0,2006
4536,Jane Eyre,Focus,11242660.0,2011
4537,The Smurfs and the Magic Flute,Atl,11234220.0,1983
4538,"The Adventures of Priscilla, Queen of the Desert",Gram.,11220670.0,1994
4539,Q & A,TriS,11207891.0,1990
4540,Deep Rising,BV,11203026.0,1998
4541,"Be Kind, Rewind",NL,11175164.0,2008
4542,For Love or Money,Uni.,11146270.0,1993
4543,Return to Oz,BV,11137801.0,1985
4544,2 Days in the Valley,MGM,11132210.0,1996
4545,Falling in Love,Par.,11129057.0,1984
4546,V.I. Warshawski,BV,11128309.0,1991
4547,Whispers in the Dark,Par.,11124511.0,1992
4548,The Danish Girl,Focus,11114018.0,2015
4549,Hard to Hold,Uni.,11113806.0,1984
4550,Hell Fest,LGF,11107431.0,2018
4551,Cafe Society,LGF,11103205.0,2016
4552,Big Trouble in Little China,Fox,11100000.0,1986
4553,Ragtime,Par.,11099118.0,1981
4554,Michael Collins,WB,11092559.0,1996
4555,Mad Dog and Glory,Uni.,11081586.0,1993
4556,My Family,NL,11079373.0,1995
4557,Wild Orchid,Triu,11060485.0,1990
4558,In the Land of Women,WB,11052958.0,2007
4559,Krush Groove,WB,11052713.0,1985
4560,House of Flying Daggers,SPC,11050094.0,2004
4561,Mrs. Henderson Presents,Wein.,11036366.0,2005
4562,The Wild Life,Uni.,11020375.0,1984
4563,Doomsday,Rog.,11008770.0,2008
4564,The Couch Trip,Lori,11005304.0,1988
4565,The Astronaut Farmer,WB,11003643.0,2007
4566,The Young Victoria,App.,11001272.0,2009
4567,The Super,Fox,11000863.0,1991
4568,The Mirror Crack'd,AFD,11000000.0,1980
4569,The Last Flight of Noah's Ark,BV,11000000.0,1980
4570,"Give 'Em Hell, Harry!",N/A,11000000.0,1975
4571,Hang 'em High,UA,11000000.0,1968
4572,Adrenaline Rush: The Science of Risk (IMAX),GSF,10994028.0,2002
4573,Who's Harry Crumb?,TriS,10982364.0,1989
4574,Dragon Wars,Free,10977721.0,2007
4575,The Man Who Loved Women,Col.,10964231.0,1983
4576,Moment by Moment,Uni.,10963824.0,1978
4577,Nuns on the Run,Fox,10959015.0,1990
4578,What the #$*! Do We Know?!,CLD,10942306.0,2004
4579,Pride and Prejudice and Zombies,SGem,10938134.0,2016
4580,Leave It to Beaver,Uni.,10925060.0,1997
4581,Cookie's Fortune,Oct.,10920544.0,1999
4582,Stop-Loss,Par.,10915744.0,2008
4583,The Englishman Who Went Up a Hill But Came Down a Mountain,Mira.,10904930.0,1995
4584,Dead Man Down,FD,10895295.0,2013
4585,The Pink Panther (1964),UA,10878107.0,1964
4586,Narrow Margin,TriS,10873237.0,1990
4587,Victory,Par.,10853418.0,1981
4588,Rollover,WB,10851261.0,1981
4589,The End of the Affair,Sony,10827816.0,1999
4590,Office Space,Fox,10827810.0,1999
4591,Extract,Mira.,10823158.0,2009
4592,Moving,WB,10815378.0,1988
4593,Gotcha!,Uni.,10806919.0,1985
4594,Dracula: Dead and Loving It,Sony,10772144.0,1995
4595,Gettysburg,NL,10769960.0,1993
4596,Welcome to Marwen,Uni.,10763520.0,2018
4597,New York Stories,BV,10763469.0,1989
4598,Missing in Action II: The Beginning,Can.,10755447.0,1985
4599,The Darkness,BH Tilt,10753574.0,2016
4600,Stay Tuned,WB,10736401.0,1992
4601,Abandon,Par.,10727683.0,2002
4602,Belle,FoxS,10726630.0,2014
4603,Glengarry Glen Ross,NL,10725228.0,1992
4604,The Drop,FoxS,10724389.0,2014
4605,Drive Angry,Sum.,10721033.0,2011
4606,The Beguiled (2017),Focus,10709995.0,2017
4607,The Fiendish Plot of Dr. Fu Manchu,WB,10697276.0,1980
4608,Robocop 3,Orion,10696210.0,1993
4609,Deconstructing Harry,FL,10686841.0,1997
4610,Fear and Loathing in Las Vegas,Uni.,10680275.0,1998
4611,Hercules (1983),MGM,10676194.0,1983
4612,The Astronaut's Wife,NL,10672566.0,1999
4613,Universal Soldier: The Return,Sony,10667893.0,1999
4614,The Gunman,ORF,10664749.0,2015
4615,Nocturnal Animals,Focus,10663357.0,2016
4616,Island of the Sharks (IMAX),Imax,10658505.0,1999
4617,Two If by Sea,WB,10658278.0,1996
4618,The Package,Orion,10647219.0,1989
4619,The Purple Rose of Cairo,Orion,10631333.0,1985
4620,Moving Violations,Fox,10627754.0,1985
4621,Wolfen,WB,10626725.0,1981
4622,P.K.,UTV,10616104.0,2014
4623,The Dark Half,Orion,10611160.0,1993
4624,After Hours,WB,10609321.0,1985
4625,The House on Sorority Row,FVI,10604986.0,1983
4626,Broadway Danny Rose,Orion,10600497.0,1984
4627,Play Misty for Me,Uni.,10600000.0,1971
4628,Beautiful Girls,Mira.,10597759.0,1996
4629,Primeval,BV,10597734.0,2007
4630,Not Easily Broken,SGem,10572742.0,2009
4631,Drop Dead Gorgeous,NL,10571408.0,1999
4632,Three to Tango,WB,10570375.0,1999
4633,Husbands and Wives,TriS,10555619.0,1992
4634,We're No Angels,Par.,10555348.0,1989
4635,Jonah Hex,WB,10547117.0,2010
4636,Mad City,WB,10541523.0,1997
4637,Magic in the Moonlight,SPC,10539326.0,2014
4638,Where the Boys Are (1984),TriS,10530000.0,1984
4639,Scoop,Focus,10525717.0,2006
4640,Here on Earth,Fox,10522168.0,2000
4641,Greta,Focus,10519425.0,2019
4642,Sabotage (2014),ORF,10508518.0,2014
4643,Getaway (2013),WB,10501938.0,2013
4644,American Ninja,Can.,10499694.0,1985
4645,Iron Eagle II,TriS,10497324.0,1988
4646,Silent Rage,Col.,10490791.0,1982
4647,Light of Day,TriS,10489617.0,1987
4648,Camp Nowhere,BV,10475705.0,1994
4649,Narc,Par.,10465659.0,2002
4650,Home Fries,WB,10459961.0,1998
4651,The Newton Boys,Fox,10452012.0,1998
4652,A Rage in Harlem,Mira.,10438504.0,1991
4653,Thief of Hearts,Par.,10435015.0,1984
4654,Interiors,UA,10432366.0,1978
4655,Moms' Night Out,TriS,10429707.0,2014
4656,The Brothers McMullen,FoxS,10426506.0,1995
4657,I'll Do Anything,Col.,10424645.0,1994
4658,Head Over Heels,Uni.,10424470.0,2001
4659,Savannah Smiles,Emb,10413170.0,1982
4660,Raise Your Voice,NL,10411980.0,2004
4661,Roving Mars (IMAX),BV,10407978.0,2006
4662,Operation Condor,Mira.,10405394.0,1997
4663,Fiddler on the Roof,UA,10404330.0,1971
4664,The Perfect Score,Par.,10391003.0,2004
4665,Stardust Memories,UA,10389003.0,1980
4666,The Scarlet Letter,BV,10382407.0,1995
4667,Live By Night,WB,10378555.0,2016
4668,Doctor Detroit,Uni.,10375893.0,1983
4669,Deal of the Century,WB,10369581.0,1983
4670,U2 3D,NGE,10363341.0,2008
4671,The Witches,WB,10360553.0,1990
4672,The Man with Two Brains,WB,10353438.0,1983
4673,Disorderlies,WB,10348437.0,1987
4674,Look Who's Talking Now,TriS,10340263.0,1993
4675,Pandorum,Over.,10330853.0,2009
4676,Straw Dogs (2011),SGem,10324441.0,2011
4677,Knock Off,Sony,10319915.0,1998
4678,I Got the Hook-Up!,Mira.,10317779.0,1998
4679,La Vie en Rose,PicH,10301706.0,2007
4680,Better Off Dead,WB,10297601.0,1985
4681,White Squall,BV,10292300.0,1996
4682,Shopgirl,BV,10284523.0,2005
4683,The Year of Living Dangerously,WB,10278575.0,1983
4684,Someone to Watch Over Me,Col.,10278549.0,1987
4685,Whiteout,WB,10275638.0,2009
4686,The Boondock Saints II: All Saints Day,App.,10273188.0,2009
4687,Santa Vs. the Snowman (IMAX),Imax,10259134.0,2002
4688,Kinsey,FoxS,10254979.0,2004
4689,House of the Dead,Art.,10249719.0,2003
4690,Pathfinder: Legend of the Ghost Warrior,Fox,10232081.0,2007
4691,The Miracle Season,Mirr/LD,10230620.0,2018
4692,Air Bud: Golden Receiver,Mira.,10224116.0,1998
4693,In the Mix,Lions,10223896.0,2005
4694,Unfinished Business,Fox,10219501.0,2015
4695,Brainstorm,MGM,10219460.0,1983
4696,Sorority Boys,BV,10200032.0,2002
4697,The Intouchables (U.S.-only),Wein.,10198820.0,2012
4698,You So Crazy,Gold.,10184701.0,1994
4699,Win Win,FoxS,10179275.0,2011
4700,Lost in America,WB,10179000.0,1985
4701,Facing the Giants,IDP,10178331.0,2006
4702,Lovesick,WB,10171304.0,1983
4703,Domino,NL,10169202.0,2005
4704,The Great Raid,Mira.,10167373.0,2005
4705,The Belko Experiment,BH Tilt,10166820.0,2017
4706,Cyborg,Can.,10166459.0,1989
4707,Sunset Park,Sony,10163782.0,1996
4708,Henry V,Gold.,10161099.0,1989
4709,Bats,Dest.,10155690.0,1999
4710,The Fountain,WB,10144010.0,2006
4711,Hoodwinked Too! Hood vs. Evil,Wein.,10143779.0,2011
4712,The Walk,TriS,10137502.0,2015
4713,Prom,BV,10130219.0,2011
4714,Swimming Pool,Focus,10130108.0,2003
4715,A Family Thing,MGM,10125417.0,1996
4716,Brokedown Palace,Fox,10115013.0,1999
4717,Possession (2002),Focus,10113733.0,2002
4718,Buddy,Sony,10113400.0,1997
4719,The Wash,Lions,10097538.0,2001
4720,The Girl with the Dragon Tattoo,MBox,10095170.0,2010
4721,Under the Cherry Moon,WB,10090429.0,1986
4722,Pulse: A Stomp Odyssey (IMAX),GSF,10086514.0,2002
4723,Mrs. Winterbourne,Sony,10082005.0,1996
4724,Shakedown,Uni.,10068039.0,1988
4725,Boiling Point,WB,10058318.0,1993
4726,National Lampoon's Class Reunion,Fox,10054150.0,1982
4727,Marshall,ORF,10051659.0,2017
4728,Cry Wolf,Rog.,10047674.0,2005
4729,Lucky Numbers,Par.,10042516.0,2000
4730,Godzilla 2000,Sony,10037390.0,2000
4731,What's Eating Gilbert Grape,Par.,10032765.0,1993
4732,Next Day Air,Sum.,10027047.0,2009
4733,Dirty Work,MGM,10023282.0,1998
4734,The Lady in the Van,SPC,10021175.0,2015
4735,Hope and Glory,Col.,10021120.0,1987
4736,Cutthroat Island,MGM,10017322.0,1995
4737,A Little Princess,WB,10015449.0,1995
4738,Penelope,Sum.,10011996.0,2008
4739,BRATZ,LGF,10010209.0,2007
4740,The Unbearable Lightness of Being,Orion,10006806.0,1988
4741,The Two Jakes,Par.,10005969.0,1990
4742,Terror in the Aisles,Uni.,10004817.0,1984
4743,Once Bitten,Gold.,10000000.0,1985
4744,The Hollywood Knights,Col.,10000000.0,1980
4745,Nashville,Par.,9984123.0,1975
4746,Lassie,Par.,9979683.0,1994
4747,Criminal Law,Hemd,9974446.0,1989
4748,Dudley Do-Right,Uni.,9974410.0,1999
4749,Murphy's Law,Can.,9947631.0,1986
4750,Brazil,Uni.,9929135.0,1985
4751,Immortal Beloved,Sony,9914409.0,1994
4752,The Best of Enemies,STX,9913456.0,2019
4753,Straight Time,WB,9900000.0,1978
4754,Very Bad Things,Poly,9898412.0,1998
4755,The Onion Field,AVCO,9890597.0,1979
4756,Night Falls on Manhattan,Par.,9889670.0,1997
4757,Miami Blues,Orion,9888167.0,1990
4758,Explorers,Par.,9873044.0,1985
4759,Dunston Checks In,Fox,9871065.0,1996
4760,Serial,Par.,9870727.0,1980
4761,Maid to Order,NCeV,9868521.0,1987
4762,Jade,Par.,9851610.0,1995
4763,La Grande Seduction,Ode.,9844180.0,2003
4764,3 Strikes,MGM,9832166.0,2000
4765,Hanky Panky,Col.,9823934.0,1982
4766,"He Said, She Said",Par.,9804775.0,1991
4767,Bad Dreams,Fox,9797098.0,1988
4768,The Express,Uni.,9793406.0,2008
4769,The Swan Princess,NL,9771658.0,1994
4770,Everyone Says I Love You,Mira.,9759200.0,1996
4771,The Hidden,NL,9747988.0,1987
4772,Amos & Andrew,Col.,9745803.0,1993
4773,Rendition,NL,9736045.0,2007
4774,Cloak and Dagger,Uni.,9719952.0,1984
4775,Somewhere in Time,Uni.,9709597.0,1980
4776,Flesh and Bone,Par.,9709451.0,1993
4777,The Journey of Natty Gann,BV,9708373.0,1985
4778,Blue Valentine,Wein.,9706328.0,2010
4779,Space Camp,Fox,9697739.0,1986
4780,Duplex,Mira.,9692135.0,2003
4781,The Butcher's Wife,Par.,9689816.0,1991
4782,Simone,NL,9688676.0,2002
4783,The Baby-Sitters Club,Sony,9685976.0,1995
4784,The Perfect Match,LGF,9669521.0,2016
4785,I Don't Know How She Does It,Wein.,9662284.0,2011
4786,Country,BV,9640000.0,1984
4787,Belly,Art.,9639390.0,1998
4788,Popstar: Never Stop Never Stopping,Uni.,9639125.0,2016
4789,Without a Trace,Fox,9632062.0,1983
4790,Digimon: The Movie,Fox,9631153.0,2000
4791,Wrongfully Accused,WB,9623329.0,1998
4792,The Wife,SPC,9601092.0,2018
4793,Comes a Horseman,MGM,9585769.0,1978
4794,The Spanish Prisoner,SPC,9584314.0,1998
4795,Carbon Copy,Emb,9566593.0,1981
4796,Scenes From a Mall,BV,9563393.0,1991
4797,Midnight Sun,Global Road,9561064.0,2018
4798,Fair Game (2010),Sum.,9540691.0,2010
4799,She's the One,FoxS,9538948.0,1996
4800,Thank You for Your Service (2017),Uni.,9536300.0,2017
4801,Death Sentence,Fox,9534258.0,2007
4802,Matinee,Uni.,9532895.0,1993
4803,From the Hip,DEG,9518342.0,1987
4804,Smart People,Mira.,9511289.0,2008
4805,Shall We Dance?,Mira.,9499091.0,1997
4806,The Red Violin,Lions,9495408.0,1998
4807,Chaplin,TriS,9493259.0,1992
4808,Bullet to the Head,WB,9489829.0,2013
4809,Guilty by Suspicion,WB,9480198.0,1991
4810,Away We Go,Focus,9451946.0,2009
4811,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Col.,9440272.0,1964
4812,Once,FoxS,9439923.0,2007
4813,Sleepover,MGM,9436390.0,2004
4814,The Visitor,Over.,9427089.0,2008
4815,Rock Dog,LG/S,9420546.0,2017
4816,Village of the Damned,Uni.,9418365.0,1995
4817,Fun Size,Par.,9409538.0,2012
4818,Angie,BV,9398308.0,1994
4819,Black Snake Moan,ParV,9396870.0,2007
4820,Fierce Creatures,Uni.,9381260.0,1997
4821,Tully (2018),Focus,9369755.0,2018
4822,Tuff Turf,Orion,9369329.0,1985
4823,Dragonball Evolution,Fox,9362785.0,2009
4824,The Frisco Kid,WB,9346177.0,1979
4825,Hellraiser 4: Bloodline,Mira.,9336886.0,1996
4826,We're Back! A Dinosaur's Story,Uni.,9317021.0,1993
4827,Bobby Deerfield,Col.,9300000.0,1977
4828,Talk to Her,SPC,9285469.0,2002
4829,Lost in Yonkers,Col.,9285189.0,1993
4830,Ringmaster,Art.,9257103.0,1998
4831,Celtic Pride,BV,9255027.0,1996
4832,Hardcore Henry,STX,9252038.0,2016
4833,Dark Blue,UA,9250301.0,2003
4834,Havana,Uni.,9243140.0,1990
4835,Mrs. Brown,Mira.,9229808.0,1997
4836,A Serious Man,Focus,9228768.0,2009
4837,Gladiator (1992),Col.,9223441.0,1992
4838,Super Babies: Baby Geniuses 2,Triu,9219388.0,2004
4839,Shoot the Moon,MGM,9217530.0,1982
4840,No Manches Frida 2,PNT,9213726.0,2019
4841,Everybody's Fine,Mira.,9208876.0,2009
4842,Bernie,MNE,9206470.0,2012
4843,Return of the Living Dead 2,Lori,9205924.0,1988
4844,Bad Boys (1983),Uni.,9190819.0,1983
4845,Body Parts,Par.,9188150.0,1991
4846,Traffik,LGF,9186156.0,2018
4847,The Four Horsemen of the Apocalypse,MPC,9183673.0,1921
4848,You Can Count on Me,ParC,9183362.0,2000
4849,Tyler Perry Presents Peeples,LGF,9177065.0,2013
4850,Get Low,SPC,9176933.0,2010
4851,A Mighty Heart,ParV,9176787.0,2007
4852,A Single Man,Wein.,9176000.0,2009
4853,Pennies From Heaven,MGM,9171289.0,1981
4854,Ulee's Gold,MGM,9161691.0,1997
4855,Stone Cold,Col.,9151887.0,1991
4856,Switching Channels,TriS,9129999.0,1988
4857,Hotel Mumbai,BST,9124572.0,2019
4858,Tap,TriS,9114702.0,1989
4859,Meet the Blacks,Free,9097072.0,2016
4860,Warlock,Trim.,9094451.0,1991
4861,Sweet Dreams,TriS,9085049.0,1985
4862,Le Divorce,FoxS,9081057.0,2003
4863,Un Gallo con Muchos Huevos,LGF,9080818.0,2015
4864,A Midsummer Night's Sex Comedy,WB,9077269.0,1982
4865,The Lobster (US Release),A24,9077245.0,2016
4866,Trail of the Pink Panther,MGM,9056073.0,1982
4867,First Daughter,Fox,9055921.0,2004
4868,Salmon Fishing in the Yemen,CBS,9047981.0,2012
4869,The Boy in the Striped Pajamas,Mira.,9046156.0,2008
4870,Conquest of the Planet of the Apes,Fox,9043472.0,1972
4871,Target,WB,9023199.0,1985
4872,Trippin',Oct.,9017070.0,1999
4873,The Ice Harvest,Focus,9016782.0,2005
4874,Transamerica,Wein.,9015303.0,2005
4875,Renegades,Uni.,9015164.0,1989
4876,White Sands,WB,9011574.0,1992
4877,Tribute,Fox,9000000.0,1980
4878,Saturn 3,AFD,9000000.0,1980
4879,Deadly Friend,WB,8988731.0,1986
4880,Aliens of the Deep (IMAX),BV,8968684.0,2005
4881,Alien Adventure (IMAX),NWav,8959784.0,1999
4882,Teaching Mrs. Tingle,Mira.,8951935.0,1999
4883,Saved!,UA,8940582.0,2004
4884,In the Mouth of Madness,NL,8924549.0,1995
4885,Bolero,Can.,8914881.0,1984
4886,The Next Karate Kid,Col.,8914777.0,1994
4887,Late for Dinner,Col.,8906823.0,1991
4888,The Formula,MGM,8894289.0,1980
4889,Salsa - The Motion Picture,Can.,8892589.0,1988
4890,"Mystery, Alaska",BV,8891623.0,1999
4891,Battle of the Year,SGem,8888355.0,2013
4892,The Inkwell,BV,8880705.0,1994
4893,White Fang II: Myth of the White Wolf,BV,8878839.0,1994
4894,Queen of Katwe,BV,8874389.0,2016
4895,Unfriended: Dark Web,BH Tilt,8866745.0,2018
4896,Apt Pupil,Sony,8863193.0,1998
4897,Nightbreed,Fox,8862354.0,1990
4898,Battle for the Planet of the Apes,Fox,8844595.0,1973
4899,Movie 43,Rela.,8840453.0,2013
4900,The Deep End,FoxS,8823109.0,2001
4901,Ratchet & Clank,Focus,8821329.0,2016
4902,Can You Ever Forgive Me?,FoxS,8803865.0,2018
4903,Body Double,Col.,8801940.0,1984
4904,Scandal,Mira.,8800000.0,1989
4905,Before and After,BV,8797839.0,1996
4906,The Seeker: The Dark Is Rising,Fox,8794452.0,2007
4907,Oxford Blues,MGM,8793152.0,1984
4908,The Five Heartbeats,Fox,8750400.0,1991
4909,Mad Max,Film,8750000.0,1980
4910,Whatever It Takes,Sony,8745680.0,2000
4911,True Believer,Col.,8742750.0,1989
4912,Street Fighter: The Legend of Chun-Li,Fox,8742261.0,2009
4913,Suspect Zero,Par.,8725813.0,2004
4914,John Carpenter's Ghosts of Mars,SGem,8709640.0,2001
4915,If You Could See What I Hear,JenF,8693512.0,1982
4916,Mischief,Fox,8692426.0,1985
4917,Clean and Sober,WB,8674093.0,1988
4918,Once Upon a Crime,MGM,8669847.0,1992
4919,Bingo,TriS,8667684.0,1991
4920,My Life in Ruins,FoxS,8665206.0,2009
4921,The Puppet Masters,BV,8647042.0,1994
4922,The Man with One Red Shoe,Fox,8645411.0,1985
4923,That Was Then... This Is Now,Par.,8630068.0,1985
4924,Secret Admirer,Orion,8622757.0,1985
4925,Manhunter,DEG,8620929.0,1986
4926,All Dogs Go to Heaven 2,MGM,8620678.0,1996
4927,The Bounty,Orion,8613462.0,1984
4928,U2: Rattle and Hum,Par.,8600823.0,1988
4929,Boat Trip,Art.,8600126.0,2003
4930,Pollock,SPC,8598593.0,2000
4931,An Unfinished Life,Mira.,8586392.0,2005
4932,Death at a Funeral (2007),MGM,8580428.0,2007
4933,The Lost City of Z,BST,8580410.0,2017
4934,High Spirits,TriS,8578231.0,1988
4935,Strange Brew,MGM,8571374.0,1983
4936,Leprechaun,Trim.,8556940.0,1993
4937,Blue Velvet,DEG,8551228.0,1986
4938,Serenity (2019),Aviron,8547045.0,2019
4939,Les Invasions Barbares,All.,8544975.0,2003
4940,The Rich Man's Wife,BV,8543587.0,1996
4941,The Care Bears Movie 2,Col.,8540346.0,1986
4942,Without a Clue,Orion,8539181.0,1988
4943,Ski Patrol,Triu,8533973.0,1990
4944,The Big Brawl,WB,8527743.0,1980
4945,MacGruber,Uni.,8525600.0,2010
4946,Apollo 11,Neon,8518995.0,2019
4947,The Quiet Ones,LGF,8509867.0,2014
4948,Troop Beverly Hills,Col.,8508843.0,1989
4949,Stick,Uni.,8489518.0,1985
4950,Nothing But Trouble,WB,8479793.0,1991
4951,Wise Guys,MGM,8475466.0,1986
4952,Legends of Oz: Dorothy's Return,CE,8462027.0,2014
4953,Tender Mercies,Uni.,8443124.0,1983
4954,Bebe's Kids,Par.,8442162.0,1992
4955,Play It to the Bone,BV,8434146.0,1999
4956,1984,Gold.,8430492.0,1984
4957,The Awakening,WB,8415112.0,1980
4958,Amy,A24,8413144.0,2015
4959,Pushing Tin,Fox,8408835.0,1999
4960,Dr. Giggles,Uni.,8403433.0,1992
4961,Sex Drive,Sum.,8402485.0,2008
4962,Twice in a Lifetime,Bud,8402424.0,1985
4963,Meteor,AIP,8400000.0,1979
4964,Something Wicked This Way Comes,BV,8400000.0,1983
4965,The Importance of Being Earnest,Mira.,8384929.0,2002
4966,The Last Temptation of Christ,Uni.,8373585.0,1988
4967,Smoke,Mira.,8367636.0,1995
4968,Death to Smoochy,WB,8364691.0,2002
4969,Turbo: A Power Rangers Movie,Fox,8363899.0,1997
4970,Something Wild,Orion,8362969.0,1986
4971,Twin Dragons,Mira.,8359717.0,1999
4972,Mr. Jones,TriS,8345845.0,1993
4973,My Life as a Dog,Skou,8345266.0,1987
4974,A Simple Wish,Uni.,8345056.0,1997
4975,Return to Paradise,Poly,8341087.0,1998
4976,Tenacious D in: The Pick of Destiny,NL,8334575.0,2006
4977,The Man,NL,8330720.0,2005
4978,Lipstick,Par.,8328666.0,1976
4979,Mandela: Long Walk to Freedom,Wein.,8323085.0,2013
4980,Larger Than Life,MGM,8315693.0,1996
4981,Johnny English Reborn,Uni.,8305970.0,2011
4982,The Love Letter,DW,8302478.0,1999
4983,Shadow of the Vampire,Lions,8293784.0,2000
4984,The Cooler,Lions,8291572.0,2003
4985,Reckless,MGM,8289916.0,1984
4986,The Fish That Saved Pittsburgh,MGM,8281246.0,1979
4987,Deadly Blessing,MGM,8279042.0,1981
4988,All About My Mother,SPC,8272296.0,1999
4989,Early Man,LGF,8267544.0,2018
